"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EST","FDISTOCK","OUTWARD","PC_GDP","A","2015",27.41906656017,
"EST","FDISTOCK","OUTWARD","PC_GDP","A","2016",28.420407530974,
"IND","FDISTOCK","INWARD","PC_GDP","A","2012",12.301201104001,
"IND","FDISTOCK","INWARD","PC_GDP","A","2013",12.159080016337,
"IND","FDISTOCK","INWARD","PC_GDP","A","2014",13.014940564781,
"IND","FDISTOCK","INWARD","PC_GDP","A","2015",13.632835375943,
"IND","FDISTOCK","INWARD","PC_GDP","A","2016",14.149428228595,
"IND","FDISTOCK","OUTWARD","PC_GDP","A","2012",6.4556229032075,
"IND","FDISTOCK","OUTWARD","PC_GDP","A","2013",6.4317883090821,
"IND","FDISTOCK","OUTWARD","PC_GDP","A","2014",6.4987344313019,
"IND","FDISTOCK","OUTWARD","PC_GDP","A","2015",6.7070986906911,
"IND","FDISTOCK","OUTWARD","PC_GDP","A","2016",6.4031520395275,
"IDN","FDISTOCK","INWARD","PC_GDP","A","2012",23.057189259611,
"IDN","FDISTOCK","INWARD","PC_GDP","A","2013",25.292373100064,
"IDN","FDISTOCK","INWARD","PC_GDP","A","2014",24.423374577801,
"IDN","FDISTOCK","INWARD","PC_GDP","A","2015",25.803599811587,
"IDN","FDISTOCK","INWARD","PC_GDP","A","2016",24.872124325019,
"IDN","FDISTOCK","OUTWARD","PC_GDP","A","2012",1.3510629338646,
"IDN","FDISTOCK","OUTWARD","PC_GDP","A","2013",2.1205199224797,
"IDN","FDISTOCK","OUTWARD","PC_GDP","A","2014",2.8519222793907,
"IDN","FDISTOCK","OUTWARD","PC_GDP","A","2015",3.4052491258031,
"IDN","FDISTOCK","OUTWARD","PC_GDP","A","2016",6.2683258356156,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2012",29.422803808255,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2013",29.500726514754,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2014",29.024779834127,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2015",33.169223390693,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2016",34.418215237747,
"ISR","FDISTOCK","OUTWARD","PC_GDP","A","2012",28.16519775827,
"ISR","FDISTOCK","OUTWARD","PC_GDP","A","2013",26.50544698556,
"ISR","FDISTOCK","OUTWARD","PC_GDP","A","2014",25.589246526185,
"ISR","FDISTOCK","OUTWARD","PC_GDP","A","2015",28.287205870418,
"ISR","FDISTOCK","OUTWARD","PC_GDP","A","2016",31.472513865766,
"RUS","FDISTOCK","INWARD","PC_GDP","A","2012",20.191981765631,
"RUS","FDISTOCK","INWARD","PC_GDP","A","2013",21.136721770804,
"RUS","FDISTOCK","INWARD","PC_GDP","A","2014",14.281534725094,
"RUS","FDISTOCK","INWARD","PC_GDP","A","2015",19.933014393037,
"RUS","FDISTOCK","INWARD","PC_GDP","A","2016",29.921341206575,
"RUS","FDISTOCK","OUTWARD","PC_GDP","A","2012",15.337049585106,
"RUS","FDISTOCK","OUTWARD","PC_GDP","A","2013",17.274441019894,
"RUS","FDISTOCK","OUTWARD","PC_GDP","A","2014",16.240054886029,
"RUS","FDISTOCK","OUTWARD","PC_GDP","A","2015",21.433901033788,
"RUS","FDISTOCK","OUTWARD","PC_GDP","A","2016",26.476193330883,
