TIME,GEO,GEO_LABEL,AGE,UNIT,SEX,Value
2013,DE12,Karlsruhe,Less than 5 years,Number,Total,82
2013,DE12,Karlsruhe,Less than 5 years,Number,Males,43
2013,DE12,Karlsruhe,Less than 5 years,Number,Females,39
2013,DE12,Karlsruhe,From 45 to 49 years,Number,Total,418
2013,DE12,Karlsruhe,From 45 to 49 years,Number,Males,247
2013,DE12,Karlsruhe,From 45 to 49 years,Number,Females,171
2013,DE12,Karlsruhe,From 50 to 54 years,Number,Total,721
2013,DE12,Karlsruhe,From 50 to 54 years,Number,Males,451
2013,DE12,Karlsruhe,From 50 to 54 years,Number,Females,270
2013,DE13,Freiburg,Total,Number,Total,21304
2013,DE13,Freiburg,Total,Number,Males,10167
2013,DE13,Freiburg,Total,Number,Females,11137
2013,DE13,Freiburg,Less than 5 years,Number,Total,83
2013,DE13,Freiburg,Less than 5 years,Number,Males,49
2013,DE13,Freiburg,Less than 5 years,Number,Females,34
2013,DE13,Freiburg,From 45 to 49 years,Number,Total,297
2013,DE13,Freiburg,From 45 to 49 years,Number,Males,186
2013,DE13,Freiburg,From 45 to 49 years,Number,Females,111
2013,DE13,Freiburg,From 50 to 54 years,Number,Total,511
2013,DE13,Freiburg,From 50 to 54 years,Number,Males,310
2013,DE13,Freiburg,From 50 to 54 years,Number,Females,201
2013,DE14,T�bingen,Total,Number,Total,16195
2013,DE14,T�bingen,Total,Number,Males,7726
2013,DE14,T�bingen,Total,Number,Females,8469
2013,DE14,T�bingen,Less than 5 years,Number,Total,53
2013,DE14,T�bingen,Less than 5 years,Number,Males,31
2013,DE14,T�bingen,Less than 5 years,Number,Females,22
2013,DE14,T�bingen,From 45 to 49 years,Number,Total,237
2013,DE14,T�bingen,From 45 to 49 years,Number,Males,151
2013,DE14,T�bingen,From 45 to 49 years,Number,Females,86
2013,DE14,T�bingen,From 50 to 54 years,Number,Total,420
2013,DE14,T�bingen,From 50 to 54 years,Number,Males,280
2013,DE14,T�bingen,From 50 to 54 years,Number,Females,140
2013,DE21,Oberbayern,Total,Number,Total,39561
2013,DE21,Oberbayern,Total,Number,Males,18573
2013,DE21,Oberbayern,Total,Number,Females,20988
2013,DE21,Oberbayern,Less than 5 years,Number,Total,126
2013,DE21,Oberbayern,Less than 5 years,Number,Males,76
2013,DE21,Oberbayern,Less than 5 years,Number,Females,50
2013,DE21,Oberbayern,From 45 to 49 years,Number,Total,619
2013,DE21,Oberbayern,From 45 to 49 years,Number,Males,388
