TIME,CURRENCY,UNIT,STATINFO,Value
1975Q1,Latvian lats,National currency (former currencies of the euro area countries),Average,
1975Q1,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1975Q1,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.11499
1975Q1,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1975Q1,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1975Q1,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1975Q2,Austrian schilling,National currency (former currencies of the euro area countries),Average,21.6119
1975Q2,Belgian franc,National currency (former currencies of the euro area countries),Average,45.4081
1975Q2,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1975Q2,German mark,National currency (former currencies of the euro area countries),Average,3.05525
1975Q2,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1975Q2,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1975Q2,Finnish markka,National currency (former currencies of the euro area countries),Average,
1975Q2,French franc,National currency (former currencies of the euro area countries),Average,5.30116
1975Q2,Greek drachma,National currency (former currencies of the euro area countries),Average,
1975Q2,Irish pound,National currency (former currencies of the euro area countries),Average,0.558132
1975Q2,Italian lira,National currency (former currencies of the euro area countries),Average,815.854
1975Q2,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1975Q2,Luxembourg franc,National currency (former currencies of the euro area countries),Average,45.4081
1975Q2,Latvian lats,National currency (former currencies of the euro area countries),Average,
1975Q2,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1975Q2,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.13011
1975Q2,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1975Q2,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1975Q2,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1975Q3,Austrian schilling,National currency (former currencies of the euro area countries),Average,21.6248
1975Q3,Belgian franc,National currency (former currencies of the euro area countries),Average,45.8087
1975Q3,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1975Q3,German mark,National currency (former currencies of the euro area countries),Average,3.06942
1975Q3,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1975Q3,Spanish peseta,National currency (former currencies of the euro area countries),Average,70.0154
1975Q3,Finnish markka,National currency (former currencies of the euro area countries),Average,4.52866
1975Q3,French franc,National currency (former currencies of the euro area countries),Average,5.24074
1975Q3,Greek drachma,National currency (former currencies of the euro area countries),Average,
1975Q3,Irish pound,National currency (former currencies of the euro area countries),Average,0.565734
1975Q3,Italian lira,National currency (former currencies of the euro area countries),Average,799.971
1975Q3,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1975Q3,Luxembourg franc,National currency (former currencies of the euro area countries),Average,45.8087
1975Q3,Latvian lats,National currency (former currencies of the euro area countries),Average,
1975Q3,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1975Q3,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.15739
1975Q3,Portuguese escudo,National currency (former currencies of the euro area countries),Average,31.4613
1975Q3,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1975Q3,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1975Q4,Austrian schilling,National currency (former currencies of the euro area countries),Average,21.5753
1975Q4,Belgian franc,National currency (former currencies of the euro area countries),Average,46.0367
1975Q4,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1975Q4,German mark,National currency (former currencies of the euro area countries),Average,3.05413
1975Q4,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1975Q4,Spanish peseta,National currency (former currencies of the euro area countries),Average,69.7455
1975Q4,Finnish markka,National currency (former currencies of the euro area countries),Average,4.54247
1975Q4,French franc,National currency (former currencies of the euro area countries),Average,5.20339
1975Q4,Greek drachma,National currency (former currencies of the euro area countries),Average,
1975Q4,Irish pound,National currency (former currencies of the euro area countries),Average,0.575315
1975Q4,Italian lira,National currency (former currencies of the euro area countries),Average,799.954
1975Q4,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1975Q4,Luxembourg franc,National currency (former currencies of the euro area countries),Average,46.0367
1975Q4,Latvian lats,National currency (former currencies of the euro area countries),Average,
1975Q4,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1975Q4,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.13556
1975Q4,Portuguese escudo,National currency (former currencies of the euro area countries),Average,31.4385
1975Q4,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1975Q4,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1976Q1,Austrian schilling,National currency (former currencies of the euro area countries),Average,21.0887
1976Q1,Belgian franc,National currency (former currencies of the euro area countries),Average,45.1102
