GEO,TIME,UNIT,COICOP,Value
Estonia,2016,Annual average rate of change,All-items HICP,0.8
Ireland,1996,Annual average rate of change,All-items HICP,2.2
Ireland,1997,Annual average rate of change,All-items HICP,1.3
Ireland,1998,Annual average rate of change,All-items HICP,2.1
Ireland,1999,Annual average rate of change,All-items HICP,2.4
Ireland,2000,Annual average rate of change,All-items HICP,5.3
Ireland,2001,Annual average rate of change,All-items HICP,4
Ireland,2002,Annual average rate of change,All-items HICP,4.7
Ireland,2003,Annual average rate of change,All-items HICP,4
Ireland,2004,Annual average rate of change,All-items HICP,2.3
Ireland,2005,Annual average rate of change,All-items HICP,2.2
Ireland,2006,Annual average rate of change,All-items HICP,2.7
Ireland,2007,Annual average rate of change,All-items HICP,2.9
Ireland,2008,Annual average rate of change,All-items HICP,3.1
Ireland,2009,Annual average rate of change,All-items HICP,-1.7
Ireland,2010,Annual average rate of change,All-items HICP,-1.6
Ireland,2011,Annual average rate of change,All-items HICP,1.2
Ireland,2012,Annual average rate of change,All-items HICP,1.9
Ireland,2013,Annual average rate of change,All-items HICP,0.5
Ireland,2014,Annual average rate of change,All-items HICP,0.3
Ireland,2015,Annual average rate of change,All-items HICP,0
Ireland,2016,Annual average rate of change,All-items HICP,-0.2
Greece,1996,Annual average rate of change,All-items HICP,7.9
Greece,1997,Annual average rate of change,All-items HICP,5.4
Greece,1998,Annual average rate of change,All-items HICP,4.5
Greece,1999,Annual average rate of change,All-items HICP,2.1
Greece,2000,Annual average rate of change,All-items HICP,2.9
Greece,2001,Annual average rate of change,All-items HICP,3.6
Greece,2002,Annual average rate of change,All-items HICP,3.9
Greece,2003,Annual average rate of change,All-items HICP,3.4
Greece,2004,Annual average rate of change,All-items HICP,3
Greece,2005,Annual average rate of change,All-items HICP,3.5
Greece,2006,Annual average rate of change,All-items HICP,3.3
Greece,2007,Annual average rate of change,All-items HICP,3
Greece,2008,Annual average rate of change,All-items HICP,4.2
Greece,2009,Annual average rate of change,All-items HICP,1.3
Greece,2010,Annual average rate of change,All-items HICP,4.7
Greece,2011,Annual average rate of change,All-items HICP,3.1
Greece,2012,Annual average rate of change,All-items HICP,1
Greece,2013,Annual average rate of change,All-items HICP,-0.9
Greece,2014,Annual average rate of change,All-items HICP,-1.4
Greece,2015,Annual average rate of change,All-items HICP,-1.1
Greece,2016,Annual average rate of change,All-items HICP,0
Spain,1996,Annual average rate of change,All-items HICP,3.6
Spain,1997,Annual average rate of change,All-items HICP,1.9
Spain,1998,Annual average rate of change,All-items HICP,1.8
Spain,1999,Annual average rate of change,All-items HICP,2.2
Spain,2000,Annual average rate of change,All-items HICP,3.5
Spain,2001,Annual average rate of change,All-items HICP,2.8
Spain,2002,Annual average rate of change,All-items HICP,3.6
Spain,2003,Annual average rate of change,All-items HICP,3.1
Spain,2004,Annual average rate of change,All-items HICP,3.1
Spain,2005,Annual average rate of change,All-items HICP,3.4
Spain,2006,Annual average rate of change,All-items HICP,3.6
Spain,2007,Annual average rate of change,All-items HICP,2.8
Spain,2008,Annual average rate of change,All-items HICP,4.1
Spain,2009,Annual average rate of change,All-items HICP,-0.2
Spain,2010,Annual average rate of change,All-items HICP,2
Spain,2011,Annual average rate of change,All-items HICP,3
Spain,2012,Annual average rate of change,All-items HICP,2.4
Spain,2013,Annual average rate of change,All-items HICP,1.5
Spain,2014,Annual average rate of change,All-items HICP,-0.2
Spain,2015,Annual average rate of change,All-items HICP,-0.6
Spain,2016,Annual average rate of change,All-items HICP,-0.3
France,1996,Annual average rate of change,All-items HICP,2.1
France,1997,Annual average rate of change,All-items HICP,1.3
France,1998,Annual average rate of change,All-items HICP,0.7
France,1999,Annual average rate of change,All-items HICP,0.6
France,2000,Annual average rate of change,All-items HICP,1.8
France,2001,Annual average rate of change,All-items HICP,1.8
France,2002,Annual average rate of change,All-items HICP,1.9
France,2003,Annual average rate of change,All-items HICP,2.2
France,2004,Annual average rate of change,All-items HICP,2.3
France,2005,Annual average rate of change,All-items HICP,1.9
France,2006,Annual average rate of change,All-items HICP,1.9
France,2007,Annual average rate of change,All-items HICP,1.6
France,2008,Annual average rate of change,All-items HICP,3.2
France,2009,Annual average rate of change,All-items HICP,0.1
France,2010,Annual average rate of change,All-items HICP,1.7
France,2011,Annual average rate of change,All-items HICP,2.3
France,2012,Annual average rate of change,All-items HICP,2.2
France,2013,Annual average rate of change,All-items HICP,1
France,2014,Annual average rate of change,All-items HICP,0.6
France,2015,Annual average rate of change,All-items HICP,0.1
