year,gdp,export_volume,import_volume
1590,4144.570391894,43.5926112183,
1591,4176.5133771034,44.056354927,
1592,4515.3652536097,44.4785905646,
1593,4780.0329149709,44.8593181223,
1594,3914.0109212026,45.1985376045,
1595,3959.1891825688,45.247258759,
1596,3783.1660125702,45.2960324317,
1597,3609.5103406844,45.3448586794,
1598,4274.4023038264,45.3937375587,
1599,4916.0548997067,45.4426691264,
1600,4704.8253697955,45.6677870563,
1601,4703.8275134552,45.8940278496,
1602,4960.323949737,52.121266157,
1603,5265.0551869003,42.019026772,
1604,5612.6561699261,50.762868102,
1605,5059.629437439,54.0505613638,
1606,5338.1725844826,57.5692307817,
1607,4896.353506163,58.6252632535,
1608,4673.8960399316,59.7919625688,
1609,5436.0728726854,61.0815754918,
1610,5773.8668428067,62.5655635755,
1611,5318.4653052373,64.2142614122,
1612,5095.5370065787,66.0466705763,
1613,4926.7725086846,66.6356184244,
1614,4751.5144972615,67.2486645054,
1615,5175.8174287478,59.6212572867,
1616,4901.4046307631,53.3945558692,
1617,5410.8595756957,56.6542233813,
1618,5415.0556741672,60.2297004066,
1619,4984.6350085607,57.6762612436,
1620,5841.3045851735,55.163359022,
1621,5878.9360749305,53.9179205508,
1622,5162.54140191,52.7901389212,
1623,5151.8454633798,54.6853046119,
1624,5817.2241803384,56.6576041936,
1625,5863.6952574328,58.7101738808,
1626,5571.8660747949,60.8462800606,
1627,5620.8697800096,59.9114447848,
1628,6445.8611544644,68.792680857,
1629,4811.5532478942,66.2263824774,
1630,4749.3753508957,63.9454278637,
1631,4832.9628439013,61.9299090253,
1632,5498.9340612337,68.3923974174,
1633,5190.1796920733,62.252574613,
1634,5317.5467439253,63.4317784308,
1635,5526.1866756756,63.8479371177,
1636,5252.5761721034,64.2681017538,
1637,5185.0370320766,64.6923069444,
1638,5671.9518191292,65.1205876655,
1639,5776.1258917629,65.5529792669,
1640,5929.3915876974,66.9477717901,
1641,5202.002816562,60.5222893267,
1642,5742.5072685983,54.8838640804,
1643,6146.7118162536,49.9242622877,
1644,6158.4289115856,45.5507775584,
1645,5360.4976106193,45.5081335045,
1646,5392.6122581356,45.467941958,
1647,5447.7987108593,45.4302040032,
1648,5511.8357003735,45.394920861,
1649,5421.681899987,50.1524619623,
1650,5195.2952888026,55.6966937131,
1651,5482.481141948,56.8428536457,
1652,6269.9762895,58.0172355695,
1653,6993.8108831404,59.2206405821,
1654,6839.1557186386,60.4538945534,
1655,7235.5231848746,61.7178489257,
1656,6689.4862792538,63.0133815395,
1657,6301.4106044729,64.3413974869,
1658,6122.7797269772,65.7028299934,
1659,5131.5049324782,67.0986413281,
1660,5597.7805876116,68.5298237439,
1661,5748.6320937165,69.99740045,
1662,5857.1029553563,71.5024266144,
1663,6847.992215234,73.0459904014,
1664,6483.6439826388,74.6292140421,
1665,6686.2500425269,76.2532549404,
1666,7549.8575672338,77.9193068166,
1667,7583.9558490356,79.2147063502,
1668,6830.0572742703,74.482918546,
1669,7001.6284328646,75.9998487496,
1670,6792.868545988,75.4379223449,
1671,6535.9145201244,72.6418052452,
1672,6466.2464615738,73.1118757249,
1673,6634.6747541193,76.2146191337,
1674,6334.266754821,73.9588147263,
1675,6499.8792856725,77.2655263693,
1676,7681.1160182993,90.1465874274,
1677,7126.2358233084,86.9844020733,
1678,7410.2439443369,90.2087214385,
1679,6897.5025056163,85.3094363044,
1680,7717.8311955383,94.4771971663,
1681,6924.0899034628,87.4936468187,
1682,7214.3865727514,90.6355701409,
1683,7779.459967223,97.3935310115,
1684,6506.4653025152,83.9235325264,
1685,7153.7441677221,93.0210492932,
1686,6639.7298502313,89.2982986279,
1687,7303.8353175468,94.6730553167,
1688,7803.6975357327,102.8723012209,
1689,7617.1985559605,102.727765519,
1690,8131.5295361737,108.8103454078,
1691,8269.5326160785,110.5366430381,
1692,8944.7020888042,118.5697414105,
1693,7610.2194190285,104.4918970297,
1694,9039.4578250829,119.3721088364,
1695,8647.5327725384,116.4935862809,
1696,8281.2328717452,112.0522121482,
1697,8222.1945552152,111.7820605085,129.0817934494
1698,8461.6989503746,171.0848994513,177.8734761408
1699,8158.1204238842,172.2386511817,216.9763041205
1700,8860.7007771972,191.5887159173,225.429926359
1701,9655.6880104289,205.7304156985,223.7314817083
1702,9406.6599715374,140.8895684498,157.8009484513
1703,8803.8170863339,181.6334867007,171.7745158043
1704,10480.9597298495,182.1938803983,205.7048078026
